organization_name,city,state,FY12,FY13,institution_type,direct_cost,indirect_cost,funding,calculated_indirect_cost
XAVIER UNIVERSITY OF LOUISIANA,NEW ORLEANS,LOUISIANA,61.5,61.5,Higher Ed,2521689,705954,3116164,28
NATIONAL BUREAU OF ECONOMIC RESEARCH (Negotiated rate from FY 2012),CAMBRIDGE,MASSACHUSETTS,52,52,NP res inst,12539664,3487953,15869026,27.8
UNIVERSITY OF RHODE ISLAND,KINGSTON,RHODE ISLAND,52,53.5,Higher Ed,12298535,3417308,15715843,27.8
MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TENNESSEE,29,29,Higher Ed,190000,52896,242896,27.8
UNIVERSITY OF TENNESSEE KNOXVILLE,KNOXVILLE,TENNESSEE,49,49,Higher Ed,4040789,1117649,5158438,27.7
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,CORPUS CHRISTI,TEXAS,31,31,Higher Ed,171287,47400,218687,27.7
LOUISIANA STATE UNIV A&M COL BATON ROUGE,BATON ROUGE,LOUISIANA,48,48,Higher Ed,11950018,3293164,14760405,27.6
TEXAS STATE UNIVERSITY-SAN MARCOS,SAN MARCOS,TEXAS,48.5,48.5,Higher Ed,817053,225375,1042428,27.6
SHAW UNIVERSITY,RALEIGH,NORTH CAROLINA,55,55,Higher Ed,1098558,303078,403212,27.6
HAWAII PACIFIC UNIVERSITY,HONOLULU,HAWAII,50,50,Higher Ed,124900,34534,159434,27.6
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VIRGINIA,54,54,NP res inst,23369185,6419508,23605494,27.5
SPARTANBURG REGIONAL MEDICAL CENTER,SPARTANBURG,SOUTH CAROLINA,32,32,Hosp,1202734,330594,1533328,27.5
VETERANS BIOMEDICAL RESEARCH INSTITUTE (Negotiated rate from FY 2012),EAST ORANGE,NEW JERSEY,25.9,25.9,NP res inst,539757,147353,687110,27.3
LUDWIG INSTITUTE FOR CANCER RESEARCH,LA JOLLA,CALIFORNIA,54.5,54.5,NP res inst,6564536,1781480,8346016,27.1
WICHITA STATE UNIVERSITY,WICHITA,KANSAS,46,46,Higher Ed,1041599,281044,1322643,27
"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",KANSAS CITY,MISSOURI,49.5,49.5,Hosp,3057642,822130,3861757,26.9
WOMEN AND INFANTS HOSPITAL-RHODE ISLAND,PROVIDENCE,RHODE ISLAND,47,48.5,Hosp,3743477,998107,4492464,26.7
MOREHOUSE COLLEGE,ATLANTA,GEORGIA,42,42,Higher Ed,1209783,323353,1253331,26.7
NEMOURS CHILDREN'S CLINIC,JACKSONVILLE,FLORIDA,35.5,36.5,NP res inst,883886,235965,1119851,26.7
PALMER COLLEGE OF CHIROPRACTIC,DAVENPORT,IOWA,57.6,57.6,Higher Ed,565915,148090,714005,26.2
BAYLOR UNIVERSITY,WACO,TEXAS,37,36.5,Higher Ed,210767,55246,266013,26.2
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH,BOSTON,MASSACHUSETTS,61.5,61.5,Higher Ed,96867426,25185418,115870367,26
WINTHROP-UNIVERSITY HOSPITAL,MINEOLA,NEW YORK,49.3,49.3,Hosp,923623,240325,1163948,26
"AURORA HEALTH CARE, INC.",MILWAUKEE,WISCONSIN,27,27,NP res inst,379919,98779,478698,26
CALIFORNIA PACIFIC MED CTR RES INSTITUTE,SAN FRANCISCO,CALIFORNIA,75,75,Hosp,7954885,2057929,10012814,25.9
MARSHALL UNIVERSITY,HUNTINGTON,WEST VIRGINIA,42,45.1,Higher Ed,3229719,835663,4065382,25.9
MEHARRY MEDICAL COLLEGE,NASHVILLE,TENNESSEE,46,45.5,Higher Ed,16783362,4316898,20382677,25.7
ALAN GUTTMACHER INSTITUTE,NEW YORK,NEW YORK,,not available,NP res inst,362360,92731,455091,25.6
WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MICHIGAN,51,51,NP res inst,2035289,518870,2474159,25.5
SEPULVEDA RESEARCH CORPORATION,SEPULVEDA,CALIFORNIA,30.1,30.1,NP res inst,551185,140398,1094337,25.5
DUQUESNE UNIVERSITY,PITTSBURGH,PENNSYLVANIA,68,68,Higher Ed,1951845,496632,2448477,25.4
WARREN CANCER RESEARCH FOUNDATION,TULSA,OKLAHOMA,34,34,NP res inst,353236,89803,424982,25.4
MIRIAM HOSPITAL,PROVIDENCE,RHODE ISLAND,46,46,Hosp,13596519,3442066,16771228,25.3
CALVIN COLLEGE,GRAND RAPIDS,MICHIGAN,48.7,48.7,Higher Ed,300000,75870,375870,25.3
UNIVERSITY OF MEMPHIS,MEMPHIS,TENNESSEE,41,41,Higher Ed,2926876,738150,3665026,25.2
UNIVERSITY OF TEXAS ARLINGTON,ARLINGTON,TEXAS,51.5,51.5,Higher Ed,1047510,262481,1111717,25.1
KECK GRADUATE INST OF APPLIED LIFE SCIS,CLAREMONT,CALIFORNIA,57.8,57.8,Higher Ed,641793,161341,803134,25.1
AMERICAN UNIVERSITY,WASHINGTON,DIST OF COL,43,43,Higher Ed,1543612,384231,1927843,24.9
DAVIDSON COLLEGE,DAVIDSON,NORTH CAROLINA,25.1,25.1,Higher Ed,879728,219433,1099161,24.9
SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,SEATTLE,WASHINGTON,35,35,NP res inst,4847651,1204178,5851829,24.8
ARBOR RESEARCH COLLABORATIVE FOR  HEALTH,ANN ARBOR,MICHIGAN,30.3,30.3,NP res inst,1160099,287639,1447738,24.8
UNIVERSITY OF PR CAYEY UNIVERSITY COLL,CAYEY,PUERTO RICO,60,62,Higher Ed,737565,181308,918873,24.6
CALIFORNIA STATE UNIVERSITY SACRAMENTO,SACRAMENTO,CALIFORNIA,38,38,Higher Ed,213855,52142,265997,24.4
RICE UNIVERSITY,HOUSTON,TEXAS,52.5,55.5,Higher Ed,9652210,2346587,11864869,24.3
CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MASSACHUSETTS,61,62,NP res inst,1135060,273474,1408534,24.1
CHILDREN'S MEMORIAL HOSPITAL (CHICAGO),CHICAGO,ILLINOIS,47,47,Hosp,8132502,1949074,9866503,24
"UNIVERSITY OF CALIFORNIA, MERCED",MERCED,CALIFORNIA,55,55,Higher Ed,1803637,432612,2236249,24
UNIVERSITY OF THE VIRGIN ISLANDS,ST. THOMAS,VIRGIN ISLANDS,65,65,Higher Ed,1483401,356391,1839792,24
GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GEORGIA,31,31,Higher Ed,1193763,286026,1479789,24
UNIVERSITY OF NORTH TEXAS,DENTON,TEXAS,47,47,Higher Ed,734530,176000,910530,24
SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CALIFORNIA,53.5,54,Higher Ed,4808810,1151409,5955274,23.9
CATHOLIC UNIVERSITY OF AMERICA,WASHINGTON,DIST OF COL,64.6,64.6,Higher Ed,1395613,333466,1646129,23.9
BOISE STATE UNIVERSITY,BOISE,IDAHO,39,39,Higher Ed,339896,81342,421238,23.9
CALIFORNIA STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CALIFORNIA,43,43,Higher Ed,1435768,342104,1754004,23.8
MEDICAL TECHNOLOGY AND PRACTICE PATTERNS,BETHESDA,MARYLAND,55,55,NP res inst,136833,32450,169283,23.7
UNIVERSITY OF MARYLAND BALT CO CAMPUS,BALTIMORE,MARYLAND,48,48,Higher Ed,5868983,1381923,7766787,23.5
TENNESSEE STATE UNIVERSITY,NASHVILLE,TENNESSEE,38,38,Higher Ed,881291,205842,1082942,23.4
MOREHEAD STATE UNIVERSITY,MOREHEAD,KENTUCKY,24,24,Higher Ed,484902,113523,598425,23.4
SAN JOSE STATE UNIVERSITY,SAN JOSE,CALIFORNIA,43.4,43.4,Higher Ed,1159426,268864,1428290,23.2
RAPID CITY REGIONAL HOSPITAL,RAPID CITY,SOUTH DAKOTA,32.8,32.8,Hosp,480160,111258,451169,23.2
NEW ENGLAND COLLEGE OF OPTOMETRY,BOSTON,MASSACHUSETTS,75,75,Higher Ed,550762,127103,643071,23.1
UNIVERSITY OF MAINE,BANGOR,MAINE,42.8,42.8,Higher Ed,644652,147343,791995,22.9
UNIVERSITY OF MISSOURI-ST. LOUIS,SAINT LOUIS,MISSOURI,51,51,Higher Ed,1126460,256332,1382792,22.8
HOPE COLLEGE,HOLLAND,MICHIGAN,50,50,Higher Ed,195750,44551,240301,22.8
"BROAD INSTITUTE, INC.",CAMBRIDGE,MASSACHUSETTS,69.5,73,NP res inst,73109237,16529591,98855705,22.6
DOHENY EYE INSTITUTE,LOS ANGELES,CALIFORNIA,58.8,51.8,NP res inst,2138517,481741,2620258,22.5
ALBANY STATE UNIVERSITY,ALBANY,GEORGIA,58,58,Higher Ed,1470467,330889,1455640,22.5
PANGAEA GLOBAL AIDS FOUNDATION,OAKLAND,CALIFORNIA,30,30,NP res inst,369520,82033,451553,22.2
UNIV/TEXAS BROWNSVILLE & SOUTHMOST COLL,BROWNSVILLE,TEXAS,50,50,Higher Ed,1654641,365165,1688667,22.1
UNIVERSITY OF IDAHO,MOSCOW,IDAHO,45.2,45.3,Higher Ed,4588440,1007411,5595851,22
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,HUNTSVILLE,ALABAMA,52,52,NP res inst,6964456,1511642,8472909,21.7
MAGEE-WOMEN'S RES INST AND FOUNDATION,PITTSBURGH,PENNSYLVANIA,59,59,NP res inst,18447947,3975968,21982346,21.6
NOVA SOUTHEASTERN UNIVERSITY,FORT LAUDERDALE,FLORIDA,68.7,68.7,Higher Ed,1580357,339676,1920033,21.5
UNIVERSITY OF PUERTO RICO RIO PIEDRAS,SAN JUAN,PUERTO RICO,48,49,Higher Ed,4640078,992508,5522645,21.4
POMONA COLLEGE,CLAREMONT,CALIFORNIA,72,72,Higher Ed,191493,40524,232017,21.2
WAKE FOREST UNIVERSITY,WINSTON-SALEM,NORTH CAROLINA,41,41,Higher Ed,2204293,465893,2792286,21.1
FORDHAM UNIVERSITY,BRONX,NEW YORK,77.5,77.5,Higher Ed,674227,142378,816605,21.1
VASSAR COLLEGE,POUGHKEEPSIE,NEW YORK,70,70,Higher Ed,217500,45675,263175,21
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NEW YORK,22,17.9,NP res inst,216992,45512,262504,21
UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,LITTLE ROCK,ARKANSAS,47,47.5,Higher Ed,134613,28111,162724,20.9
JOSLIN DIABETES CENTER,BOSTON,MASSACHUSETTS,64,65,NP res inst,31317782,6506729,37642908,20.8
RIVERSIDE RESEARCH INSTITUTE,NEW YORK,NEW YORK,59,59.7,NP res inst,1504514,313254,1817768,20.8
LOUISIANA TECH UNIVERSITY,RUSTON,LOUISIANA,48,48,Higher Ed,71175,14804,85979,20.8
ESSENTIA INSTITUTE OF RURAL HEALTH,DULUTH,MINNESOTA,50,50,NP res inst,1533162,317930,1851092,20.7
UNIVERSITY OF NEVADA LAS VEGAS,LAS VEGAS,NEVADA,44,44,Higher Ed,5589016,1133805,6722821,20.3
UNIVERSITY OF NEW HAMPSHIRE,DURHAM,NEW HAMPSHIRE,46.5,47,Higher Ed,599395,121678,721073,20.3
CALIFORNIA POLY STATE U SAN LOUIS OBISPO,SAN LUIS OBISPO,CALIFORNIA,38,39,Higher Ed,1675641,337688,2013329,20.2
SAVANNAH STATE UNIVERSITY,SAVANNAH,GEORGIA,56,56,Higher Ed,1148527,229849,1246198,20
SULLIVAN ALLIANCE/TRANSFORM/HLTH/PROFESS,WASHINGTON,DIST OF COL,35.5,35.5,NP res inst,974905,192641,858952,19.8
SOUTHERN CALIFORNIA INST FOR RES/EDUC,LONG BEACH,CALIFORNIA,33.3,33.3,NP res inst,1686849,330465,2017314,19.6
UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SOUTH DAKOTA,44,44.5,Higher Ed,5669847,1102344,6772191,19.4
"BRONX-LEBANON HOSP CTR (BRONX, NY)",NEW YORK,NEW YORK,30.6,30.6,Hosp,683276,132256,604491,19.4
CARL T. HAYDEN MEDICAL RESEARCH FDN,PHOENIX,ARIZONA,26.3,26.3,NP res inst,499248,95623,594871,19.2
CANCER PREVENTION INSTIT OF CALIFORNIA,FREMONT,CALIFORNIA,47,49,NP res inst,3682456,679582,4362038,18.5
ILLINOIS INSTITUTE OF TECHNOLOGY,CHICAGO,ILLINOIS,51,52,Higher Ed,6488613,1187037,7592106,18.3
ITHACA COLLEGE,ITHACA,NEW YORK,59.5,59.5,Higher Ed,94248,17235,111483,18.3
MORGAN STATE UNIVERSITY,BALTIMORE,MARYLAND,48.5,48.5,Higher Ed,1376883,249208,1610712,18.1
LOUISIANA STATE UNIV AGRICULTURAL CENTER,BATON ROUGE,LOUISIANA,42,42,Higher Ed,573682,104068,677750,18.1
NORTH CAROLINA AGRI & TECH ST UNIV,GREENSBORO,NORTH CAROLINA,42.5,42.5,Higher Ed,1195007,214771,1409778,18
CALIFORNIA STATE UNIVERSITY LOS ANGELES,LOS ANGELES,CALIFORNIA,45,45,Higher Ed,3327503,595353,3922856,17.9
DELAWARE STATE UNIVERSITY,DOVER,DELAWARE,46,46,Higher Ed,3120867,533009,3653876,17.1
SMITH COLLEGE,NORTHAMPTON,MASSACHUSETTS,52.5,52.5,Higher Ed,376702,63979,440681,17
SILENT SPRING INSTITUTE,NEWTON,MASSACHUSETTS,51,51,NP res inst,908258,153831,1062089,16.9
BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE,LOS ANGELES,CALIFORNIA,24.4,24.4,NP res inst,3489897,567555,4057452,16.3
CHARLES R. DREW UNIVERSITY OF MED & SCI,LOS ANGELES,CALIFORNIA,41,41,Higher Ed,14535226,2360233,16209303,16.2
"NSABP FOUNDATION, INC.",PITTSBURGH,PENNSYLVANIA,16.2,16.2,NP res inst,10624498,1721411,9681783,16.2
"FRONTIER SCI & TECHNOLOGY RSCH FDN, INC (Negotiated rate from FY 2012)",BOSTON,MASSACHUSETTS,30.5,30.5,NP res inst,11314362,1815173,12254071,16
CAROLINAS MEDICAL CENTER,CHARLOTTE,NORTH CAROLINA,44,44,Hosp,3551344,568269,4119613,16
BASTYR UNIVERSITY,KENMORE,WASHINGTON,42,45,Higher Ed,1626291,247074,1486578,15.2
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,CHICAGO,ILLINOIS,30.3,30.3,NP res inst,4027690,592041,4361477,14.7
CALIFORNIA STATE UNIVERSITY FULLERTON,FULLERTON,CALIFORNIA,39.1,39.1,Higher Ed,2533049,366170,2895311,14.5
UNIVERSITY OF WESTERN STATES,PORTLAND,OREGON,35,39,Higher Ed,588439,85499,673938,14.5
ADELPHI UNIVERSITY,GARDEN CITY,NEW YORK,64.1,64.1,Higher Ed,150000,21716,171716,14.5
WHITTEMORE PETERSON INSTITUTE,Reno,NEVADA,31.8,31.8,NP res inst,248749,35944,284693,14.4
FAYETTEVILLE STATE UNIVERSITY,FAYETTEVILLE,NORTH CAROLINA,55.4,55.4,Higher Ed,366870,51184,418054,14
UNIVERSITY OF TEXAS-PAN AMERICAN,EDINBURG,TEXAS,44,44,Higher Ed,363687,50782,414469,14
UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MASSACHUSETTS,51,51,Higher Ed,2330445,318778,2649223,13.7
SPELMAN COLLEGE,ATLANTA,GEORGIA,60,60,Higher Ed,546209,73572,619781,13.5
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GEORGIA,20.5,20.5,NP res inst,241947,32575,274522,13.5
JUDGE BAKER CHILDREN'S CENTER,BOSTON,MASSACHUSETTS,,not available,NP res inst,2190032,275880,2436670,12.6
GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DIST OF COL,58.5,58.5,Higher Ed,79079999,9889549,75697472,12.5
"JAEB CENTER FOR HEALTH RESEARCH, INC.",TAMPA,FLORIDA,52.8,52.8,NP res inst,16771260,2087489,9001709,12.4
TRINITY COLLEGE,HARTFORD,CONNECTICUT,67,67,Higher Ed,364053,45154,409207,12.4
TACOMA GENERAL HOSPITAL,TACOMA,WASHINGTON,23.6,32.1,Hosp,605973,68732,605178,11.3
LONG ISLAND UNIVERSITY BROOKLYN CAMPUS,BROOKLYN,NEW YORK,65,65,Higher Ed,849167,95022,944189,11.2
SALISH KOOTENAI COLLEGE,PABLO,MONTANA,24,24,Higher Ed,479090,52004,531094,10.9
ELIZABETH CITY STATE UNIVERSITY,ELIZABETH CITY,NORTH CAROLINA,55,55,Higher Ed,553323,59816,548907,10.8
INSTITUTE FOR BASIC RES IN DEV DISABIL,STATEN ISLAND,NEW YORK,61.7,61.7,NP res inst,313718,33614,347332,10.7
FOUNDATION FOR AIDS RESEARCH (Negotiated rate from FY 2012),NEW YORK,NEW YORK,32.7,32.7,NP res inst,2664337,277268,2941605,10.4
CHICAGO ASSN FOR RESEARCH & EDUC IN SCI,HINES,ILLINOIS,22.5,22.5,NP res inst,579896,57680,637576,9.9
DENVER HEALTH AND HOSPITAL AUTHORITY,DENVER,COLORADO,35.5,35.5,NP res inst,917669,88384,1103869,9.6
UNIVERSITY OF MARYLAND EASTERN SHORE,PRINCESS ANNE,MARYLAND,55,55,Higher Ed,366350,33781,380999,9.2
GUNDERSEN LUTHERAN MEDICAL FOUNDATION,LA CROSSE,WISCONSIN,28,28,NP res inst,526713,47787,445370,9.1
TEXAS A&M INTERNATIONAL UNIVERSITY,LAREDO,TEXAS,52,39,Higher Ed,98525,8263,106788,8.4
MCMASTER UNIVERSITY,HAMILTON,CANADA,59.6,57.5,Higher Ed,1369612,109118,1478730,8
MONTREAL HEART INSTITUTE (Negotiated rate from FY 2012),MONTREAL,CANADA,53,53,NP res inst,1090403,87231,1177634,8
"IHC HEALTH SERVICES, INC.",SALT LAKE CITY,UTAH,43,43,NP res inst,244886,19591,618937,8
HEBREW UNIVERSITY OF JERUSALEM,JERUSALEM,ISRAEL,74,74,Higher Ed,547015,43761,590776,8
EL PASO COMMUNITY COLLEGE (Negotiated rate from FY 2012),EL PASO,TEXAS,40,40,Higher Ed,526101,42088,568189,8
TEL AVIV UNIVERSITY,TEL AVIV,ISRAEL,42,42,Higher Ed,486031,38882,524913,8
OREGON LAW CENTER,PORTLAND,OREGON,New,10.2,NP res inst,412364,32989,445353,8
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,PEMBROKE,NORTH CAROLINA,55,55,Higher Ed,260060,20805,280865,8
AZUSA PACIFIC UNIVERSITY,AZUSA,CALIFORNIA,35,35,Higher Ed,190809,15265,206074,8
MEDGAR EVERS COLLEGE,NEW YORK,NEW YORK,69,69,Higher Ed,185068,14805,199873,8
COLLEGE AT PURCHASE,PURCHASE,NEW YORK,77,77,Higher Ed,174655,13972,188627,8
DALHOUSIE UNIVERSITY,"HALIFAX, NOVA SCOTIA",CANADA,51.4,55.9,Higher Ed,170639,13651,184290,8
NATIONAL REHABILITATION HOSPITAL,WASHINGTON,DIST OF COL,54,54,Hosp,121997,9760,131757,8
VISITING NURSE SERVICE OF NEW YORK,NEW YORK,NEW YORK,51,51,NP res inst,116252,9300,125552,8
UNIVERSITY OF RICHMOND,RICHMOND,VIRGINIA,53,53,Higher Ed,103125,8250,111375,8
BLUEFIELD STATE COLLEGE,BLUEFIELD,WEST VIRGINIA,64,64,Higher Ed,99301,7944,107245,8
TOWSON UNIVERSITY,TOWSON,MARYLAND,45,45,Higher Ed,98550,7884,106434,8
TEXAS WOMAN'S UNIVERSITY,DENTON,TEXAS,56.1,42.7,Higher Ed,79548,6364,85912,8
MCGILL UNIVERSITY HEALTH CTR RES INST,MONTREAL,CANADA,64,64,NP res inst,64969,5198,70167,8
FAIRFIELD UNIVERSITY,FAIRFIELD,CONNECTICUT,64,64,Higher Ed,64036,5123,69159,8
UNIVERSITY OF PUERTO RICO AT HUMACAO,HUMACAO,PUERTO RICO,60,60,Higher Ed,601325,47242,648567,7.9
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MARYLAND,17.5,17.5,NP res inst,328981,25918,354899,7.9
ALCORN STATE UNIVERSITY,ALCORN STATE,MISSISSIPPI,35,38,Higher Ed,210375,16638,227013,7.9
MONTCLAIR STATE UNIVERSITY,MONTCLAIR,NEW JERSEY,58,59,Higher Ed,129549,10185,139734,7.9
SIMON FRASER UNIVERSITY,BURNABY,CANADA,55.3,55.3,Higher Ed,1348071,105072,1453143,7.8
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MISSOURI,43.5,43.5,Higher Ed,193405,15057,208462,7.8
INTERNATIONAL ASSOCIATION FIRE FIGHTERS,WASHINGTON,DIST OF COL,35,35,NP res inst,1316206,101558,1403950,7.7
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DIST OF COL,18,18,NP res inst,794000,60800,854800,7.7
CALIFORNIA STATE UNIV-DOMINGUEZ HILLS,CARSON,CALIFORNIA,42,42,Higher Ed,508840,39250,513866,7.7
UNIVERSITY OF CALGARY,CALGARY,CANADA,38.3,38.3,Higher Ed,461371,35656,497027,7.7
ALABAMA STATE UNIVERSITY,MONTGOMERY,ALABAMA,45,45,Higher Ed,335765,25703,361468,7.7
UNIVERSITY OF BRITISH COLUMBIA,VANCOUVER,CANADA,45,45,Higher Ed,5352479,404510,5756989,7.6
UNIVERSITY OF PUERTO RICO MAYAGUEZ,MAYAGUEZ,PUERTO RICO,49,50,Higher Ed,1631433,124296,1732551,7.6
ONTARIO INSTITUTE FOR CANCER RESEARCH,TORONTO,CANADA,,not available,NP res inst,1392320,105184,1346178,7.6
CHRISTIAN BROTHERS UNIVERSITY,MEMPHIS,TENNESSEE,45,45,Higher Ed,210375,16089,226464,7.6
QUEENSBOROUGH COMMUNITY COLLEGE,NEW YORK,NEW YORK,53,53,Higher Ed,336744,24990,361734,7.4
UNIVERSIDAD DEL ESTE,CAROLINA,PUERTO RICO,81,85,Higher Ed,449615,32886,482501,7.3
WESTERN INTERSTATE COMMISSION HIGHER ED,BOULDER,COLORADO,35.1,35.1,NP res inst,254814,18518,273332,7.3
COLLEGE AT OLD WESTBURY,OLD WESTBURY,NEW YORK,73,73,Higher Ed,188497,13659,202156,7.2
UNIVERSITY OF THE DISTRICT OF COLUMBIA,WASHINGTON,DIST OF COL,48,48,Higher Ed,401120,28613,429733,7.1
BARRY UNIVERSITY,MIAMI SHORES,FLORIDA,50,50,Higher Ed,212656,15083,227739,7.1
UNIVERSITY OF WATERLOO,WATERLOO,CANADA,31.9,31.9,Higher Ed,903630,63561,967191,7
GRAMBLING STATE UNIVERSITY,GRAMBLING,LOUISIANA,47,47,Higher Ed,364229,25371,330514,7
MCGILL UNIVERSITY,MONTREAL,CANADA,64,64,Higher Ed,2045517,141395,2186912,6.9
MICHIGAN PUBLIC HEALTH INSTITUTE,OKEMOS,MICHIGAN,15.3,16.3,NP res inst,779095,52666,831761,6.8
METROPOLITAN STATE COLLEGE OF DENVER,DENVER,COLORADO,33,32,Higher Ed,248087,16799,173796,6.8
NATIONAL PARTNERSHIP/ENVIRONMNTL/TECH/ED,SOUTH PORTLAND,MAINE,,20,NP res inst,799185,51335,791159,6.4
SEIU EDUCATION AND SUPPORT FUND,WASHINGTON,DIST OF COL,16,16,NP res inst,627041,40129,667170,6.4
PUBLIC HEALTH FOUNDATION ENTERPRISES,CITY OF INDUSTRY,CALIFORNIA,9,9,NP res inst,5843332,365880,4945298,6.3
FORT LEWIS COLLEGE,DURANGO,COLORADO,38,38,Higher Ed,256395,16205,272600,6.3
PUBLIC HEALTH SOLUTIONS,NEW YORK,NEW YORK,,not available,NP res inst,799026,49882,848908,6.2
GYNECOLOGIC ONCOLOGY GROUP,CROFTON,MARYLAND,9,9,NP res inst,14385805,874965,13056414,6.1
UNIVERSITY HEALTH NETWORK (Negotiated rate from FY 2012),TORONTO,CANADA,51.8,51.8,Hosp,4151266,252890,4959105,6.1
UNIVERSITY OF HOUSTON-DOWNTOWN,HOUSTON,TEXAS,50,41.6,Higher Ed,100000,6109,106109,6.1
NATIONAL COLLEGE OF NATURAL MEDICINE,PORTLAND,OREGON,49,49,NP res inst,194388,11656,206044,6
WEIZMANN INSTITUTE OF SCIENCE,REHOVOT,ISRAEL,75,78,Higher Ed,877463,48400,925863,5.5
QUEEN'S UNIVERSITY AT KINGSTON,KINGSTON,CANADA,55.6,55.6,Higher Ed,1600022,83186,1683208,5.2
UNIVERSITY OF THE SCIENCES PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,42.5,42.5,Higher Ed,233184,11651,244835,5
UNIVERSITY OF ALBERTA,EDMONTON,CANADA,61.1,59,Higher Ed,1162261,52635,1214896,4.5
NORTHWESTERN HEALTH SCIENCES UNIVERSITY,BLOOMINGTON,MINNESOTA,55.3,55.3,Higher Ed,265765,11842,277607,4.5
FLORIDA ASSN OF PEDIATRIC TUMOR PROG,TAMPA,FLORIDA,30,30,NP res inst,542489,21276,503765,3.9
"MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",MINNEAPOLIS,MINNESOTA,62.5,65.5,NP res inst,11524816,430138,13931885,3.7
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,WASHINGTON,DIST OF COL,64,64,NP res inst,1173679,38179,1084986,3.3
BOWDOIN COLLEGE,BRUNSWICK,MAINE,60,60,Higher Ed,390458,11671,402129,3
DILLARD UNIVERSITY,NEW ORLEANS,LOUISIANA,45,45,Higher Ed,6737218,197152,6934370,2.9
CORIELL INSTITUTE FOR MEDICAL RESEARCH,,NEW JERSEY,78,78,NP res inst,0,0,13330393,0
"COLLABORATIVE DRUG DISCOVERY, INC.",Ann Arbor,CALIFORNIA,28.3,28.3,Other,0,0,1542180,0
TOUGALOO COLLEGE,TOUGALOO,MISSISSIPPI,29,29,Higher Ed,0,0,1392386,0
"PHOENIX BIOSYSTEMS, INC.",Columbia,CALIFORNIA,28,28,Other,0,0,1355176,0
ST. VINCENT HOSPITAL,GREEN BAY,WISCONSIN,52.5,52.5,Hosp,835168,0,755168,0
OLIVE VIEW-UCLA EDUCATION AND RES INST,,CALIFORNIA,21,21,Other,0,0,674561,0
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VIRGINIA,55,55,NP res inst,91889,0,91889,0
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GEORGIA,New,25,NP res inst,83000,0,83000,0
COLLEGE OF ST SCHOLASTICA,DULUTH,MINNESOTA,32.8,33.2,Higher Ed,49916,0,49916,0
SEQUOIA FOUNDATION,LA JOLLA,CALIFORNIA,20.1,20.1,NP res inst,47382,0,47382,0
WESTERN WASHINGTON UNIVERSITY,BELLINGHAM,WASHINGTON,51.4,51.4,Higher Ed,46000,0,46000,0
NEW YORK-PRESBYTERIAN HOSPITAL (Negotiated rate from FY 2012),NEW YORK,NEW YORK,73,73,Hosp,29897,0,29897,0
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RHODE ISLAND,54,54,NP res inst,25000,0,25000,0
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,ILLINOIS,New,28.4,NP res inst,15000,0,15000,0
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,ARIZONA,92,92,Hosp,0,0,0,0
LONG ISLAND UNIVERSITY C. W. POST CENTER,GREENVALE,NEW YORK,80,80,Higher Ed,0,0,0,0
MASS COLLEGE OF PHARM HEALTH SCIENCES,BOSTON,MASSACHUSETTS,80,80,Higher Ed,0,0,0,0
THE HAMNER INSTITUTES,RESEARCH TRIANGLE PARK,NORTH CAROLINA,80,80,NP res inst,0,0,0,0
CALIFORNIA INSTITUTE FOR MEDICAL RES,SAN JOSE,CALIFORNIA,80.5,79.9,NP res inst,0,0,0,0
